Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03092026,1819883055,0003354
Trade Date <03-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,40,10,25.00
20,2,1003ISFL28,N4,10,10,100.00
20,3,1015ECL29,NR,682,682,100.00
20,4,1015UCL27,NF,200,200,100.00
20,5,1018GS2026,GS,1187,1187,100.00
20,6,1025SCL34A,ZT,4,4,100.00
20,7,1050ISFL28,N5,5,5,100.00
20,8,1050UCL28,NH,1353,1353,100.00
20,9,1065NFL27,NC,250,250,100.00
20,10,1075WCA28,N0,10,10,100.00
20,11,10IIFL28,N4,272,272,100.00
20,12,10IIFL28A,NE,462,462,100.00
20,13,10IIFL29,N6,21,21,100.00
20,14,10ISFL26,N3,180,180,100.00
20,15,1119NFL27,ND,9,9,100.00
20,16,1150AFIL29,N0,1,1,100.00
20,17,115VCCL28,N0,6,6,100.00
20,18,1225DCCL27,N0,3,3,100.00
20,19,1225IFL27,N0,6,6,100.00
20,20,125VCCL31,N0,10,10,100.00
20,21,12AFIL27A,N0,2,2,100.00
20,22,12VCCL29B,N0,1,1,100.00
20,23,182D100926,TB,400,400,100.00
20,24,20MICRONS,EQ,179448,66414,37.01
20,25,21STCENMGM,EQ,6902,5557,80.51
20,26,360ONE,EQ,483291,194872,40.32
20,27,364D190327,TB,200,100,50.00
20,28,3BBLACKBIO,EQ,20142,11928,59.22
20,29,3MINDIA,EQ,1978,938,47.42
20,30,3PLAND,EQ,2151,1699,78.99
20,31,574GS2026,GS,100,100,100.00
20,32,5PAISA,EQ,18209,10738,58.97
20,33,601GS2030,GS,219,219,100.00
20,34,610GS2031,GS,500,500,100.00
20,35,620GS2029,GS,600,600,100.00
20,36,633GS2035,GS,196,195,99.49
20,37,636GS2031,GS,2001,2001,100.00
20,38,63MOONS,EQ,628941,220243,35.02
20,39,648GS2035,GS,100,100,100.00
20,40,654GS2032,GS,12599,12599,100.00
20,41,663ML31,SG,300,300,100.00
20,42,664GS2035,GS,200,100,50.00
20,43,667GS2035,GS,801,801,100.00
20,44,667GS2050,GS,100,100,100.00
20,45,668GS2033,GS,300,300,100.00
20,46,668GS2040,GS,31088,30888,99.36
20,47,676GS2061,GS,36758,36757,100.00
20,48,678MN31,SG,100,100,100.00
20,49,679GS2034A,GS,98,98,100.00
20,50,690GS2065,GS,48476,37788,77.95
20,51,694GS2036,GS,2299,1739,75.64
20,52,695GS2061,GS,57,57,100.00
20,53,699GS2051,GS,30,30,100.00
20,54,702GS2031,GS,1290,1290,100.00
20,55,706GS2028,GS,10051,10051,100.00
20,56,706GS2041,GS,500,500,100.00
20,57,709GS2054,GS,50533,50524,99.98
20,58,709GS2074,GS,4137,4137,100.00
20,59,710GS2029,GS,108689,108689,100.00
20,60,717GS2028,GS,2376,2376,100.00
20,61,717GS2030,GS,210,210,100.00
20,62,718GS2033,GS,100001,100001,100.00
20,63,718GS2037,GS,219000,217100,99.13
20,64,724GS2055,GS,22046,22021,99.89
20,65,725GS2063,GS,137294,135194,98.47
20,66,726GS2032,GS,17175,17175,100.00
20,67,728IRFC30,NG,2998,2998,100.00
20,68,733GS2026,GS,600,600,100.00
20,69,734GS2064,GS,111203,111203,100.00
20,70,735NHAI31,N9,3899,3888,99.72
20,71,735PY27,SG,100,100,100.00
20,72,736GS2052,GS,80,80,100.00
20,73,738GJ35A,SG,100,100,100.00
20,74,738GS2027,GS,8901,8901,100.00
20,75,738REC27TF,N2,35,35,100.00
20,76,73GS2053,GS,51700,51700,100.00
20,77,741GS2036,GS,10203,9299,91.14
20,78,743GS2076,GS,11231,11230,99.99
20,79,746GS2073,GS,4,2,50.00
20,80,74GS2062,GS,102,102,100.00
20,81,751HUDCO28,N5,20,20,100.00
20,82,753IRFC30,NJ,1,1,100.00
20,83,754GS2036,GS,265796,264035,99.34
20,84,755MH34,SG,200,200,100.00
20,85,757UP36,SG,100,100,100.00
20,86,75GS2034,GS,1,1,100.00
20,87,760PFCL35,N3,253,253,100.00
20,88,762NTPC35F,ND,355,312,87.89
20,89,762WB41,SG,900,900,100.00
20,90,764HUDCO31,N8,500,500,100.00
20,91,764IRFC31,NO,1010,1010,100.00
20,92,764NABAR31,N2,1443,1429,99.03
20,93,768KA37,SG,100,100,100.00
20,94,769HUDCO31,N9,905,905,100.00
20,95,769NHAI31,NE,1348,1348,100.00
20,96,76NHAI31,NA,948,939,99.05
20,97,771GS2066,GS,36718,36615,99.72
