Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31082026,3068735779,0003375
Trade Date <31-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,442,442,100.00
20,2,1015ECL29,NR,1798,1500,83.43
20,3,1018GS2026,GS,81,79,97.53
20,4,1025IIFL30,Y3,100,100,100.00
20,5,1025UCL27A,NG,4,4,100.00
20,6,1025VCCL28,N0,1,1,100.00
20,7,1050ISFL28,N5,20,20,100.00
20,8,105IIFL29,N7,130,130,100.00
20,9,1075SCL33A,N2,40,40,100.00
20,10,1075SCL34,ZR,10,10,100.00
20,11,1075WCA28,N0,22,22,100.00
20,12,10IIFL28,N4,200,200,100.00
20,13,10IIFL29,N6,15,15,100.00
20,14,10ISFL26,N3,10,10,100.00
20,15,1119NFL27,ND,104,104,100.00
20,16,1125AFIL29,N0,56,56,100.00
20,17,1165ESFB32,N0,4,4,100.00
20,18,1225IFL28,N0,3,3,100.00
20,19,125VCCL31,N0,1,1,100.00
20,20,12AFIL27,N0,10,8,80.00
20,21,12AFIL28,N0,6,6,100.00
20,22,12VCCL27,N0,2,2,100.00
20,23,12VCCL29A,N0,2,2,100.00
20,24,12VCCL29B,N0,2,1,50.00
20,25,182D140127,TB,600,300,50.00
20,26,182D260227,TB,100,100,100.00
20,27,20MICRONS,EQ,172302,70786,41.08
20,28,21STCENMGM,EQ,2905,2902,99.90
20,29,360ONE,EQ,1412706,752416,53.26
20,30,364D030926,TB,125000,125000,100.00
20,31,364D100926,TB,3700,3700,100.00
20,32,364D190827,TB,200,0,0.00
20,33,364D210127,TB,300,200,66.67
20,34,364D220427,TB,800,800,100.00
20,35,364D250227,TB,100,100,100.00
20,36,364D291026,TB,500,500,100.00
20,37,3BBLACKBIO,EQ,33118,21004,63.42
20,38,3MINDIA,EQ,7423,4323,58.24
20,39,3PLAND,EQ,7601,6986,91.91
20,40,574GS2026,GS,1,1,100.00
20,41,585GS2030,GS,11,11,100.00
20,42,591GS2028,GS,810,600,74.07
20,43,5PAISA,EQ,68919,42994,62.38
20,44,601GS2028,GS,800,800,100.00
20,45,601GS2030,GS,700,700,100.00
20,46,603GS2029,GS,1600,800,50.00
20,47,610GS2031,GS,1,1,100.00
20,48,620GS2029,GS,10200,10200,100.00
20,49,63MOONS,EQ,127074,51867,40.82
20,50,648GS2035,GS,1605,1605,100.00
20,51,654GS2032,GS,50000,50000,100.00
20,52,667GS2050,GS,13,13,100.00
20,53,668GS2033,GS,200,100,50.00
20,54,668GS2040,GS,165336,165336,100.00
20,55,676GS2061,GS,60000,60000,100.00
20,56,679GS2031,GS,70,70,100.00
20,57,68GS2060,GS,4182,2216,52.99
20,58,690GS2065,GS,28160,28104,99.80
20,59,694GS2036,GS,1000,1000,100.00
20,60,699GS2051,GS,10959,10959,100.00
20,61,702GS2027,GS,201,200,99.50
20,62,702GS2031,GS,5150,5150,100.00
20,63,704GS2029,GS,100,100,100.00
20,64,706GS2028,GS,3400,3400,100.00
20,65,706GS2041,GS,710,710,100.00
20,66,709GS2054,GS,12520,11320,90.42
20,67,709GS2074,GS,78614,68503,87.14
20,68,718GS2037,GS,37485,37427,99.85
20,69,71GS2034,GS,3000,3000,100.00
20,70,720PFCL36,N6,12,12,100.00
20,71,724GS2055,GS,97594,96943,99.33
20,72,725GS2063,GS,203539,203439,99.95
20,73,726GS2032,GS,4100,4100,100.00
20,74,726GS2033,GS,500,500,100.00
20,75,732GS2030,GS,500,500,100.00
20,76,733GS2026,GS,1699,1699,100.00
20,77,734GS2064,GS,54471,53901,98.95
20,78,735NHAI31,N9,3613,3613,100.00
20,79,737GS2028,GS,2909,2809,96.56
20,80,737NTPC35C,NA,35,35,100.00
20,81,738GS2027,GS,7208,7208,100.00
20,82,738REC27TF,N2,500,500,100.00
20,83,73GS2053,GS,15305,15205,99.35
20,84,741GS2036,GS,11701,11501,98.29
20,85,742AS34,SG,100,100,100.00
20,86,743GS2076,GS,110049,109047,99.09
20,87,743REC35,NH,96,96,100.00
20,88,746GS2073,GS,8217,7871,95.79
20,89,74GS2062,GS,11,11,100.00
20,90,74TN34,SG,100,100,100.00
