Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01092026,1896048543,0003394
Trade Date <01-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003ISFL28,N4,113,89,78.76
20,2,1003SFIL28,NX,55,5,9.09
20,3,1015ECL29,NR,25,24,96.00
20,4,1015SCL28,NR,14,14,100.00
20,5,1018GS2026,GS,650,650,100.00
20,6,1020CCSP27,N0,1,1,100.00
20,7,1025PATE28,N0,3,3,100.00
20,8,1025SCL34A,ZT,20,20,100.00
20,9,1025SCL34B,N1,50,50,100.00
20,10,1025VCCL28,N0,2,2,100.00
20,11,1050UCL28,NH,452,452,100.00
20,12,105IIFL29,N7,2,2,100.00
20,13,1060ECL29,NS,50,50,100.00
20,14,1065NFL27,NC,516,516,100.00
20,15,1075SCL33A,N2,40,40,100.00
20,16,1075WCA28,N0,22,22,100.00
20,17,1075WCAP28,N0,1,1,100.00
20,18,10CAGL27,N5,160,160,100.00
20,19,10IIFL29,N6,79,49,62.03
20,20,10ISFL26,N3,232,232,100.00
20,21,10MWL29,N0,1,1,100.00
20,22,1119NFL27,ND,15,15,100.00
20,23,1150AFIL29,N0,1,1,100.00
20,24,115VCCL31A,N0,10,10,100.00
20,25,1225IFL28,N0,2,2,100.00
20,26,125VCCL31,N0,1,1,100.00
20,27,1275DCCL28,N0,11,11,100.00
20,28,12AFIL27,N0,22,22,100.00
20,29,12AFIL27A,N0,19,19,100.00
20,30,20MICRONS,EQ,137611,70231,51.04
20,31,21STCENMGM,EQ,4172,4066,97.46
20,32,360ONE,EQ,2175285,403321,18.54
20,33,364D110227,TB,200,100,50.00
20,34,3BBLACKBIO,EQ,40078,16509,41.19
20,35,3MINDIA,EQ,2999,1328,44.28
20,36,3PLAND,EQ,829,792,95.54
20,37,591GS2028,GS,6000,6000,100.00
20,38,5PAISA,EQ,86636,52681,60.81
20,39,601GS2030,GS,1985,1985,100.00
20,40,610GS2031,GS,1,1,100.00
20,41,620GS2029,GS,7867,7867,100.00
20,42,633GS2035,GS,21,11,52.38
20,43,636GS2031,GS,200,200,100.00
20,44,63MOONS,EQ,121930,66773,54.76
20,45,645GS2029,GS,2,2,100.00
20,46,648GS2035,GS,4400,4400,100.00
20,47,654GS2032,GS,10000,10000,100.00
20,48,662GS2051,GS,20,20,100.00
20,49,664GS2027,GS,290,290,100.00
20,50,667GS2035,GS,16973,16973,100.00
20,51,667GS2050,GS,36,36,100.00
20,52,668GS2040,GS,84722,84722,100.00
20,53,674MH29,SG,1000,1000,100.00
20,54,676GS2061,GS,89018,88980,99.96
20,55,679GS2034,GS,300,300,100.00
20,56,68GS2060,GS,30,20,66.67
20,57,690GS2065,GS,60689,60689,100.00
20,58,694GS2036,GS,4172,4172,100.00
20,59,695GS2061,GS,3142,3140,99.94
20,60,699GS2051,GS,12,7,58.33
20,61,702GJ31,SG,100,100,100.00
20,62,702GS2027,GS,2200,2200,100.00
20,63,704GS2029,GS,300,300,100.00
20,64,706GS2028,GS,400,400,100.00
20,65,706GS2041,GS,3290,2790,84.80
20,66,706GS2046,GS,1,1,100.00
20,67,709GS2054,GS,17537,17537,100.00
20,68,709GS2074,GS,19899,19899,100.00
20,69,70CG29,SG,100,100,100.00
20,70,710GS2029,GS,12001,12001,100.00
20,71,717GS2030,GS,100,100,100.00
20,72,718GS2037,GS,20203,20201,99.99
20,73,71GS2034,GS,1,1,100.00
20,74,71MH33,SG,100,100,100.00
20,75,723GS2039,GS,600,600,100.00
20,76,724GS2055,GS,22028,21007,95.36
20,77,725GS2063,GS,188328,186825,99.20
20,78,726GS2032,GS,11030,11030,100.00
20,79,732GS2030,GS,200,100,50.00
20,80,733GS2026,GS,500,500,100.00
20,81,734GS2064,GS,141555,140374,99.17
20,82,734IRFC28,N4,151,150,99.34
20,83,736GS2052,GS,999,999,100.00
20,84,737NTPC35C,NA,35,35,100.00
20,85,738GS2027,GS,34901,28501,81.66
20,86,739TN34A,SG,600,600,100.00
20,87,73GS2053,GS,20038,20028,99.95
20,88,741GS2036,GS,3121,2845,91.16
20,89,742AS34,SG,100,100,100.00
20,90,743GS2076,GS,304759,304615,99.95
20,91,743REC35,NH,60,60,100.00
20,92,746GS2073,GS,501,501,100.00
20,93,746MH35,SG,200,200,100.00
20,94,74GS2062,GS,27,27,100.00
20,95,750GS2056,GS,615,615,100.00
20,96,750IRFC35,NK,991,791,79.82
20,97,750TN32,SG,1800,1800,100.00
20,98,752TN33,SG,200,100,50.00
20,99,753IRFC30,NJ,1928,1897,98.39
20,100,753NTPC30E,NC,493,493,100.00
20,101,754GS2036,GS,318050,314400,98.85
20,102,758JK50,SG,100,100,100.00
20,103,762NTPC35F,ND,161,160,99.38
20,104,764HUDCO31,N8,838,504,60.14
20,105,764IRFC31,NO,1112,850,76.44
20,106,768KA37,SG,100,100,100.00
20,107,769HUDCO31,N9,1145,733,64.02
20,108,769NHAI31,NE,26,13,50.00
20,109,76NHAI31,NA,800,755,94.38
20,110,76TN32,SG,100,100,100.00
20,111,771GS2066,GS,30863,30662,99.35
20,112,773BR39,SG,100,100,100.00
20,113,774AP36A,SG,200,200,100.00
20,114,774IREDA31,N7,215,215,100.00
20,115,779PN38,SG,100,100,100.00
20,116,791MH39,SG,100,100,100.00
20,117,79NHIT35,N1,2826,2751,97.35
20,118,79NHIT40,N2,368,368,100.00
20,119,79NHIT47,N3,900,900,100.00
20,120,7PFCL31,N3,10,10,100.00
20,121,807AP51,SG,100,100,100.00
20,122,813GS2045,GS,86,86,100.00
20,123,81TCHF28,N8,215,200,93.02
20,124,824GS2027,GS,4429,4429,100.00
20,125,82HUDCO27,N2,797,797,100.00
20,126,82IGT31,NJ,4,4,100.00
20,127,830NHAI27,N2,987,978,99.09
20,128,830PFCL27,N5,20,20,100.00
20,129,835SCL23B,YM,6,6,100.00
20,130,842IIFL26,NL,63,63,100.00
20,131,843IHFL29,NC,2,2,100.00
20,132,848AEL29,NJ,425,424,99.76
20,133,850CIFCL26,NE,100,100,100.00
20,134,852IIFL29,Y5,135,135,100.00
20,135,862AEL31,NM,40,40,100.00
20,136,863NHB29,N2,7,6,85.71
20,137,865IFL28,NZ,150,150,100.00
20,138,865IIFL28,NS,366,366,100.00
20,139,865IRFC29,NA,605,605,100.00
20,140,865SCL27,N4,220,220,100.00
20,141,865TCAPS27,N8,1364,852,62.46
20,142,866NTPC33,N3,5,5,100.00
20,143,871REC28,N9,1135,1085,95.59
20,144,875NHAI29,N6,220,211,95.91
20,145,875SCL23A,YI,43,43,100.00
20,146,876HUDCO28,ND,480,480,100.00
20,147,87LTF27,NH,11,10,90.91
20,148,880IREDA29,N5,69,69,100.00
20,149,885IHL26,N1,50,50,100.00
20,150,888ECL28,N1,212,211,99.53
20,151,888IRFC29,NE,50,50,100.00
20,152,890AEL31,NN,1486,1467,98.72
20,153,891NTPC33,N6,624,615,98.56
20,154,892PFCL33,N8,20,10,50.00
20,155,893NHB29,N6,2,2,100.00
20,156,898LTF29,N7,51,51,100.00
20,157,89IHFL29,N1,21,21,100.00
20,158,901NHB34,N6,177,175,98.87
20,159,902SCL28,N1,72,72,100.00
20,160,915AEL28,NC,50,50,100.00
20,161,915APSBC27,N0,5,5,100.00
20,162,915APSBC31,N0,8,5,62.50
20,163,915APSBC34,N0,2,1,50.00
20,164,915APSBC35,N0,10,10,100.00
20,165,915SCL26,NE,30,30,100.00
20,166,91D100926,TB,2000,2000,100.00
20,167,91D191126,TB,1300,900,69.23
20,168,91D271126,TB,1000,1000,100.00
20,169,91D291026,TB,3300,3300,100.00
20,170,920ISF28B,N0,7,7,100.00
20,171,925ECL28,N2,19,19,100.00
20,172,925ISF28,N0,38,25,65.79
20,173,925SCL2028,N8,200,200,100.00
20,174,92GS2030,GS,15889,15789,99.37
20,175,930APMD30,N0,11,11,100.00
20,176,930APMD32,N0,8,5,62.50
20,177,935LTF29,N5,654,620,94.80
20,178,935MOFSL29,N5,20,20,100.00
20,179,935TSI30,N0,2,2,100.00
20,180,935TSIIC28,N0,1,1,100.00
20,181,93MOFSL34,N6,500,390,78.00
20,182,948SCL26A,NN,150,150,100.00
20,183,948SCL27D,N1,4,4,100.00
20,184,956AEL29,N6,147,147,100.00
20,185,957ISFL26,N2,110,110,100.00
20,186,965AEL27,N4,689,685,99.42
20,187,96IIFL28,N5,1070,1048,97.94
