Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15092026,1922914637,0003415
Trade Date <15-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,102,100,98.04
20,2,1003SFIL28,NX,30,30,100.00
20,3,1015ECL29,NR,150,140,93.33
20,4,1015SCFL29,YY,10,10,100.00
20,5,1015SCL29,ZL,108,108,100.00
20,6,1025SCL35A,N1,239,239,100.00
20,7,1039UCL26,NE,88,88,100.00
20,8,1040UCL27B,N1,4,2,50.00
20,9,1050ISFL28,N5,50,50,100.00
20,10,1050UCL28,NH,201,100,49.75
20,11,105IIFL29,N7,282,282,100.00
20,12,1060ECL29,NS,761,761,100.00
20,13,1075SCL33,YK,100,100,100.00
20,14,1075SCL33A,N2,5,5,100.00
20,15,1075SCL35,N1,20,20,100.00
20,16,10IIFL28,N4,35,35,100.00
20,17,10IIFL28A,NE,350,350,100.00
20,18,10ISFL26,N3,4,4,100.00
20,19,10MWL29,N0,1,1,100.00
20,20,10UCL26,ND,9,9,100.00
20,21,1119NFL27,ND,120,120,100.00
20,22,1125AFIL29,N0,4,4,100.00
20,23,1150AFIL28,N0,5,5,100.00
20,24,115VCCL31,N0,1,1,100.00
20,25,115VCCL31A,N0,8,8,100.00
20,26,115VCCL31B,N0,3,3,100.00
20,27,1225IFL27,N0,8,8,100.00
20,28,1225IFL28,N0,2,2,100.00
20,29,125VCCL31,N0,5,4,80.00
20,30,12AFIL27,N0,8,8,100.00
20,31,12AFIL27A,N0,3,3,100.00
20,32,12AFIL28,N0,41,41,100.00
20,33,182D151026,TB,200,100,50.00
20,34,20MICRONS,EQ,111270,62529,56.20
20,35,21STCENMGM,EQ,1658,1407,84.86
20,36,360ONE,EQ,896308,475769,53.08
20,37,3BBLACKBIO,EQ,10026,5062,50.49
20,38,3MINDIA,EQ,2096,1260,60.11
20,39,3PLAND,EQ,7541,5478,72.64
20,40,5PAISA,EQ,40835,22340,54.71
20,41,601GS2030,GS,4380,2190,50.00
20,42,603GS2029,GS,1180,590,50.00
20,43,610GS2031,GS,100,100,100.00
20,44,619GS2034,GS,2202,1102,50.05
20,45,620GS2029,GS,250,250,100.00
20,46,622GS2035,GS,60,30,50.00
20,47,636GS2031,GS,2042,1442,70.62
20,48,63MOONS,EQ,310775,143919,46.31
20,49,648GS2035,GS,3490,3490,100.00
20,50,653GS2031,GS,721,721,100.00
20,51,657GS2033A,GS,90,90,100.00
20,52,659CG28,SG,100,100,100.00
20,53,664GS2035,GS,604,604,100.00
20,54,667GS2050,GS,1000,1000,100.00
20,55,668GS2033,GS,4440,4100,92.34
20,56,668GS2040,GS,10955,10953,99.98
20,57,674MH29,SG,200,200,100.00
20,58,676GS2061,GS,7128,6128,85.97
