Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,27082026,1817470063,0003352
Trade Date <27-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,1712,1500,87.62
20,2,1003ISFL28,N4,60,60,100.00
20,3,1003SFIL28,NX,39,3,7.69
20,4,1015ECL29,NR,12,12,100.00
20,5,1025SCL34A,ZT,224,224,100.00
20,6,1030SFIL28,NM,204,100,49.02
20,7,1050ISFL28,N5,10,10,100.00
20,8,1050SCL31,ZP,20,20,100.00
20,9,105IIFL29,N7,154,154,100.00
20,10,1060ECL29,NS,205,205,100.00
20,11,1065NFL27,NC,885,885,100.00
20,12,1075WCA28,N0,16,16,100.00
20,13,10CAGL27,N5,303,303,100.00
20,14,10IIFL28,N4,5,5,100.00
20,15,10IIFL28A,NE,102,51,50.00
20,16,10IIFL29,N6,50,50,100.00
20,17,10UCL26,ND,100,100,100.00
20,18,1119NFL27,ND,93,93,100.00
20,19,1125AFIL29,N0,11,11,100.00
20,20,1150AFIL28,N0,3,3,100.00
20,21,118VCCL27B,N0,2,2,100.00
20,22,1225IFL27,N0,6,6,100.00
20,23,1225IFL28,N0,8,8,100.00
20,24,125VCCL31,N0,1,1,100.00
20,25,1275DCCL28,N0,12,12,100.00
20,26,12AFIL27,N0,1,1,100.00
20,27,12AFIL27A,N0,11,11,100.00
20,28,12AFIL28,N0,1,1,100.00
20,29,12VCCL27,N0,1,1,100.00
20,30,12VCCL27D,N0,1,1,100.00
20,31,182D311226,TB,3300,3300,100.00
20,32,20MICRONS,EQ,152626,74455,48.78
20,33,21STCENMGM,EQ,4547,4522,99.45
20,34,360ONE,EQ,317442,191498,60.33
20,35,364D100627,TB,100,100,100.00
20,36,364D200527,TB,3000,3000,100.00
20,37,3BBLACKBIO,EQ,16388,10701,65.30
20,38,3MINDIA,EQ,3288,1780,54.14
20,39,3PLAND,EQ,3978,2416,60.73
20,40,574GS2026,GS,1,1,100.00
20,41,591GS2028,GS,3000,3000,100.00
20,42,5PAISA,EQ,18714,10851,57.98
20,43,610GS2031,GS,1,1,100.00
20,44,620GS2029,GS,222,200,90.09
20,45,628GS2032,GS,151,150,99.34
20,46,636GS2031,GS,4820,4820,100.00
20,47,63MOONS,EQ,195262,96449,49.39
20,48,645GS2029,GS,3,2,66.67
20,49,667GS2050,GS,53,53,100.00
20,50,668GS2040,GS,7390,7390,100.00
20,51,676GS2061,GS,48900,48900,100.00
20,52,679GS2034,GS,3700,3700,100.00
20,53,679GS2034A,GS,2,2,100.00
20,54,68GS2060,GS,610,610,100.00
20,55,690GS2065,GS,9425,9424,99.99
20,56,694GS2036,GS,3876,3875,99.97
20,57,695GS2061,GS,12,10,83.33
20,58,699GS2051,GS,6,6,100.00
20,59,702GS2031,GS,3228,3228,100.00
20,60,706GS2028,GS,5549,5549,100.00
20,61,706GS2041,GS,2001,2001,100.00
20,62,709GS2054,GS,16223,15863,97.78
20,63,709GS2074,GS,3966,3966,100.00
20,64,70CG29,SG,100,100,100.00
20,65,710GS2029,GS,2000,2000,100.00
20,66,717GS2030,GS,1000,1000,100.00
20,67,718GS2037,GS,3352,3351,99.97
20,68,718MH33,SG,4900,4900,100.00
20,69,724GS2055,GS,24767,24767,100.00
20,70,725GS2063,GS,582181,560876,96.34
20,71,726GS2032,GS,100,100,100.00
20,72,732GS2030,GS,781,781,100.00
20,73,734GS2064,GS,27795,25081,90.24
20,74,737NTPC35C,NA,39,39,100.00
20,75,738GS2027,GS,41880,36880,88.06
20,76,738REC27TF,N2,1000,1000,100.00
20,77,73GS2053,GS,17896,17646,98.60
20,78,740IIFCL33,N1,451,351,77.83
20,79,741GS2036,GS,3104,3104,100.00
20,80,742TN34A,SG,100,100,100.00
20,81,743GS2076,GS,27633,27633,100.00
20,82,743REC35,NH,1110,1024,92.25
20,83,744TN55A,SG,100,100,100.00
20,84,745AP38,SG,500,500,100.00
20,85,746GS2073,GS,103,101,98.06
20,86,747GJ28,SG,200,200,100.00
20,87,748KA37A,SG,100,100,100.00
20,88,74GS2062,GS,12,6,50.00
20,89,74PY30,SG,100,100,100.00
20,90,750GS2056,GS,5275,5275,100.00
20,91,753IRFC30,NJ,158,158,100.00
20,92,753TS39,SG,200,200,100.00
20,93,754GS2036,GS,320632,319832,99.75
20,94,755GJ31,SG,200,200,100.00
20,95,758JK50,SG,100,100,100.00
20,96,760PFCL35,N3,150,150,100.00
20,97,762NTPC35F,ND,167,167,100.00
20,98,764HUDCO31,N8,48,47,97.92
20,99,764IRFC31,NO,865,865,100.00
20,100,764NABAR31,N2,509,500,98.23
20,101,766GJ32,SG,1000,1000,100.00
20,102,767TN30,SG,300,300,100.00
20,103,769NHAI31,NE,750,720,96.00
20,104,76NHAI31,NA,1389,1070,77.03
20,105,771GS2066,GS,6115,6111,99.93
20,106,772MH34,SG,200,200,100.00
20,107,774IREDA31,N7,21,21,100.00
20,108,774RJ34,SG,100,100,100.00
20,109,781RJ49,SG,100,100,100.00
20,110,783KL49,SG,200,200,100.00
20,111,785PN42,SG,1100,1100,100.00
20,112,792BR51,SG,100,100,100.00
20,113,792PN44,SG,100,100,100.00
20,114,796AP38,SG,300,200,66.67
20,115,79IGT28,NF,28,28,100.00
20,116,79NHIT35,N1,2,1,50.00
20,117,79NHIT40,N2,18,18,100.00
20,118,79NHIT47,N3,550,550,100.00
20,119,7PFCL31,N3,10,10,100.00
20,120,806RJ57,SG,1000,1000,100.00
20,121,810IRFC27,N2,1000,1000,100.00
20,122,812REC27,NI,51,41,80.39
20,123,81TCHF28,N8,157,157,100.00
20,124,820IIFL27,N9,50,50,100.00
20,125,82HUDCO27,N2,1260,1160,92.06
20,126,830NHAI27,N2,3307,3251,98.31
20,127,830PFCL27,N5,20,20,100.00
20,128,842IIFL26,NL,150,150,100.00
20,129,846REC28,N6,400,400,100.00
20,130,84TCHF28,NA,5,5,100.00
20,131,860AEL28,NH,21,21,100.00
20,132,860CIFCL28,NG,100,100,100.00
20,133,862AEL31,NM,15,15,100.00
20,134,863IRFC29,NC,250,250,100.00
20,135,865IHFL27,N1,16,16,100.00
20,136,865IIFL28,NS,105,105,100.00
20,137,865IIFL31,Y6,5,5,100.00
20,138,865IRFC29,NA,1,1,100.00
20,139,865SCL24B,Z8,80,20,25.00
20,140,865SCL27,N4,20,20,100.00
20,141,865TCAPS27,N8,663,649,97.89
20,142,867NHPC33,N3,290,290,100.00
20,143,870IIFL28,Y7,7,7,100.00
20,144,871REC28,N9,1692,1122,66.31
20,145,875MOF27,N0,1,1,100.00
20,146,875NHAI29,N6,349,349,100.00
20,147,875SFL27,ZF,9,9,100.00
20,148,876HUDCO28,ND,260,260,100.00
20,149,880IREDA29,N5,27,27,100.00
20,150,885TCAPS29,NC,4,2,50.00
20,151,888ECL28,N1,263,263,100.00
20,152,888IRFC29,NE,161,149,92.55
20,153,888REC29,NF,1807,1073,59.38
20,154,890AEL31,NN,1556,1556,100.00
20,155,890SFIL23A,NZ,458,225,49.13
20,156,891IIFCL34,N4,215,210,97.67
20,157,891NTPC33,N6,239,239,100.00
20,158,892NHPC33,N6,350,350,100.00
20,159,892PFCL33,N8,103,94,91.26
20,160,894SCL27,ZY,165,140,84.85
20,161,895AEL27,N9,83,75,90.36
20,162,897GS2030,GS,2000,2000,100.00
20,163,897MOFSL29,N4,241,241,100.00
20,164,8SMC29,N1,438,429,97.95
20,165,8SMC30,N2,65,56,86.15
20,166,901HUDCO34,NE,479,300,62.63
20,167,901NHB34,N6,22,21,95.45
20,168,905LTF27,NF,54,45,83.33
20,169,915AEL28,NC,10,10,100.00
20,170,915APSBC28,N0,1,1,100.00
20,171,915SCL27,Z7,50,50,100.00
20,172,91D011026,TB,600,600,100.00
20,173,91D030926,TB,1000,1000,100.00
20,174,91D081026,TB,400,400,100.00
20,175,91D121126,TB,9200,5100,55.43
20,176,91D151026,TB,100,100,100.00
20,177,91D240926,TB,600,600,100.00
20,178,925ECL28,N2,365,275,75.34
20,179,925ISF29,N0,3,3,100.00
20,180,925SCL26F,N1,25,25,100.00
20,181,925SCL28C,BS,40,40,100.00
20,182,925SCL29A,ZM,56,56,100.00
20,183,92GS2030,GS,2723,2723,100.00
20,184,930APMD34,N0,3,3,100.00
20,185,935LTF29,N5,4,4,100.00
20,186,935PFL33,N3,100,100,100.00
20,187,93MOFSL34,N6,22,22,100.00
20,188,943ECL28,NJ,20,20,100.00
20,189,948SCL27D,N1,5,5,100.00
20,190,950ISF27A,N0,1,1,100.00
20,191,950ISF27C,N0,5,5,100.00
20,192,957ICCL25,YW,3,3,100.00
20,193,957ISFL26,N2,10,10,100.00
20,194,965AEL27,N4,310,70,22.58
20,195,96IIFL28,N5,312,312,100.00
20,196,96IIFL28A,NF,2186,2041,93.37
20,197,970CAGL28,ND,27,27,100.00
20,198,975BNAL28,N0,10,10,100.00
20,199,975IIFL28,Y0,80,80,100.00
20,200,975ISF28,N0,3,3,100.00
20,201,975SCL35,N0,24,24,100.00
20,202,97MOFSL34,N7,50,50,100.00
20,203,97SFL29,YZ,101,101,100.00
20,204,985ECL28,NK,753,751,99.73
20,205,985SFIL28,NO,22,11,50.00
20,206,995SCL2035,NM,19,19,100.00
20,207,9IIFL28A,NT,300,300,100.00
20,208,9IIFL31,Y9,11,11,100.00
20,209,9SCL26BA,NA,173,173,100.00
20,210,A2ZINFRA,EQ,423268,355365,83.96
20,211,AAATECH,EQ,4547,3103,68.24
20,212,AADHARHFC,EQ,161831,95107,58.77
20,213,AAKAAR,SM,1600,1600,100.00
20,214,AAKASH,EQ,21147,16361,77.37
20,215,AARADHYA,SM,1200,1200,100.00
20,216,AAREYDRUGS,EQ,192944,154988,80.33
20,217,AARON,EQ,10460,5904,56.44
20,218,AARTIDRUGS,EQ,81669,39586,48.47
20,219,AARTIIND,EQ,531274,246617,46.42
20,220,AARTIPHARM,EQ,397741,196700,49.45
20,221,AARVI,EQ,11191,6636,59.30
20,222,AASTHA,EQ,2787093,1067640,38.31
20,223,AATMAJ,SM,4000,2000,50.00
20,224,AAVAS,EQ,349968,222800,63.66
20,225,ABANSENT,EQ,6608,5265,79.68
20,226,ABB,EQ,189460,97181,51.29
20,227,ABBOTINDIA,EQ,4712,2651,56.26
20,228,ABCAPITAL,EQ,1578229,821122,52.03
20,229,ABCOTS,EQ,7494,7106,94.82
20,230,ABDL,EQ,161808,72759,44.97
20,231,ABFRL,EQ,3324887,1840398,55.35
20,232,ABGSEC,EQ,395,195,49.37
20,233,ABHAPOWER,SM,19200,16000,83.33
20,234,ABLBL,EQ,297838,212327,71.29
20,235,ABMKNO,EQ,1079,714,66.17
20,236,ABREL,EQ,111296,44026,39.56
20,237,ABSL10BANK,EQ,7135,1592,22.31
20,238,ABSLAMC,EQ,377907,223052,59.02
20,239,ABSLBANETF,EQ,20293,18082,89.10
20,240,ABSLLIQUID,EQ,1654,1236,74.73
20,241,ABSLMSCIN,EQ,313,313,100.00
20,242,ABSLNN50ET,EQ,16412,9428,57.45
20,243,ABSLPSE,EQ,140364,130286,92.82
20,244,ABSMARINE,ST,109500,107000,97.72
20,245,ACC,EQ,67738,33844,49.96
20,246,ACCELYA,EQ,4730,2276,48.12
20,247,ACCENTMIC,SM,37500,27000,72.00
20,248,ACCPL,ST,3600,3600,100.00
20,249,ACE,EQ,388332,176353,45.41
20,250,ACEINTEG,EQ,1130,954,84.42
20,251,ACGL,EQ,378,327,86.51
20,252,ACI,EQ,346464,242080,69.87
20,253,ACL,EQ,16516,12473,75.52
20,254,ACMESOLAR,EQ,1572541,746168,47.45
20,255,ACUTAAS,EQ,128415,59937,46.67
